epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2272.39,1.05956,0.4931,1.05919,0.98373,0.93804,0.96695,0.67582,1.0766,0.44357,1.06735,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2340.08,1.05838,0.48931,1.05997,0.98239,0.94049,0.96476,0.67391,1.0874,0.44058,1.07253,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2407.43,1.06606,0.49267,1.05752,0.98524,0.94275,0.96723,0.67864,1.07282,0.43231,1.06135,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2474.54,1.06392,0.48959,1.05346,0.98005,0.94169,0.9676,0.67928,1.07379,0.42914,1.05655,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2542.2,1.05294,0.48109,1.05727,0.98382,0.94305,0.96952,0.68091,1.07245,0.43528,1.07412,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2608.82,1.05388,0.48398,1.06319,0.98482,0.94592,0.97078,0.68052,1.06913,0.43058,1.06532,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2675.18,1.047,0.47855,1.05609,0.98568,0.94071,0.97066,0.68139,1.0689,0.43283,1.06029,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2742.12,1.04062,0.47702,1.04593,0.97877,0.94442,0.97045,0.67978,1.07646,0.43128,1.0646,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2809.65,1.02726,0.46993,1.04156,0.98661,0.94012,0.97031,0.68352,1.06718,0.41741,1.06294,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2877.88,1.03993,0.47592,1.04607,0.98371,0.94032,0.96808,0.68394,1.06531,0.42724,1.06058,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
